Date,High,Low,Open,Close,Volume,MarketCap
8/8/2015 23:59,2.798810005,0.714725018,2.793760061,0.753324986,674188,45486894.24
8/9/2015 23:59,0.879809976,0.629190981,0.706135988,0.701897025,532170,42399573.5
8/10/2015 23:59,0.729853988,0.636546016,0.713989019,0.708447993,405283,42818364.39
8/11/2015 23:59,1.131410003,0.663235009,0.708087027,1.067860007,1463100,64569288.43
8/12/2015 23:59,1.28994,0.883607984,1.058750033,1.217440009,2150620,73645010.99
8/13/2015 23:59,1.965070009,1.171990037,1.222239971,1.827669978,4068680,110607191.7
8/14/2015 23:59,2.261879921,1.754750013,1.81092,1.827870011,4637030,110672321.8
8/15/2015 23:59,1.877239943,1.570979953,1.802889943,1.688899994,2554360,102303608.5
8/16/2015 23:59,1.695240021,1.089810014,1.684350014,1.566030025,3550790,94901005.35
8/17/2015 23:59,1.58118999,1.185340047,1.58118999,1.203609943,1942830,87295366.5
8/18/2015 23:59,1.331159949,1.087049961,1.215299964,1.087049961,1485680,78868413.08
8/19/2015 23:59,1.317989945,1.16692996,1.16692996,1.258859992,1486240,91366391.44
8/20/2015 23:59,1.533300042,1.248329997,1.251180053,1.464920044,2843760,106351420.2
8/21/2015 23:59,1.556419969,1.352800012,1.477519989,1.395290017,2020970,101331855.6
8/22/2015 23:59,1.476410031,1.352679968,1.396289945,1.379230022,948310,100201825.7
8/23/2015 23:59,1.409700036,1.297770023,1.375,1.352589965,1589300,98300351.35
8/24/2015 23:59,1.362779975,1.231269956,1.345589995,1.231269956,924920,89515256.55
8/25/2015 23:59,1.241819978,1.12864995,1.228610039,1.140190005,1307180,82922632.91
8/26/2015 23:59,1.202479959,1.061830044,1.132789969,1.159980059,1056750,84390923.54
8/27/2015 23:59,1.188830018,1.137290001,1.169810057,1.147699952,686662,83524585.39
8/28/2015 23:59,1.207790017,1.120499969,1.147660017,1.191380024,721872,86731076.64
8/29/2015 23:59,1.207209945,1.149489999,1.193529963,1.182549953,375377,86113894.69
8/30/2015 23:59,1.367990017,1.170609951,1.182989955,1.319270015,1337650,96097349.11
8/31/2015 23:59,1.396149993,1.201009989,1.321380019,1.358240008,1447180,98963974.9
9/1/2015 23:59,1.392740011,1.336629987,1.353479981,1.351609945,778862,98507500.05
9/2/2015 23:59,1.354910016,1.264619946,1.35157001,1.29479003,883769,94389544.25
9/3/2015 23:59,1.309990048,1.211030006,1.295189977,1.26493001,702991,92234142.48
9/4/2015 23:59,1.302520037,1.236809969,1.26493001,1.274410009,474391,92953700.98
9/5/2015 23:59,1.342300057,1.271190047,1.280560017,1.338809967,448453,97683882.54
9/6/2015 23:59,1.373639941,1.294250011,1.338009953,1.295830011,491968,94580163.79
9/7/2015 23:59,1.305480003,1.237849951,1.295899987,1.246649981,489014,91020734.55
9/8/2015 23:59,1.282379985,1.230610013,1.246649981,1.242429972,427892,90743242.5
9/9/2015 23:59,1.260480046,1.201840043,1.239349961,1.206509948,366748,88150124.71
9/10/2015 23:59,1.221570015,1.136150002,1.207610011,1.165770054,662782,85202731.66
9/11/2015 23:59,1.169070005,0.94067502,1.16497004,0.982977986,1942600,71868264.58
9/12/2015 23:59,1.114889979,0.969780028,0.987227976,1.038740039,772430,75971273.15
9/13/2015 23:59,1.042700052,0.902831972,1.041779995,0.936003029,644138,68480586.72
9/14/2015 23:59,0.949387014,0.871760011,0.940566003,0.875621974,741085,64084134.62
9/15/2015 23:59,1.045539975,0.875189006,0.875189006,0.944410026,703390,69141408.75
9/16/2015 23:59,0.952697992,0.901638985,0.941977024,0.907175004,615593,66437873.29
9/17/2015 23:59,0.909204006,0.831131995,0.906865001,0.874230981,897940,64046215.95
9/18/2015 23:59,0.888101995,0.833908021,0.874574006,0.853685021,484622,62561883.08
9/19/2015 23:59,0.911882997,0.833783984,0.849602997,0.882390976,386988,64687992
9/20/2015 23:59,0.947740972,0.873205006,0.881191015,0.938444972,508314,68822183.06
9/21/2015 23:59,0.957325995,0.878301024,0.941496015,0.919046998,424039,67422915.09
9/22/2015 23:59,0.919336975,0.865225017,0.919336975,0.901795983,487914,66180153.1
9/23/2015 23:59,0.908909976,0.885136008,0.903559983,0.893405974,200541,65587498.98
9/24/2015 23:59,0.908571005,0.793460011,0.896795988,0.813610017,842505,59749887.52
9/25/2015 23:59,0.825664997,0.712745011,0.820030987,0.736222982,903457,54085581.31
9/26/2015 23:59,0.787544012,0.709327996,0.73763001,0.785964012,369620,57759115.39
9/27/2015 23:59,0.791276991,0.719169021,0.791276991,0.720839024,413801,52990396.22
9/28/2015 23:59,0.725677013,0.55706197,0.723715007,0.582885981,1320890,42863006.1
9/29/2015 23:59,0.675830007,0.558345973,0.57941401,0.661145985,913992,48633258.78
9/30/2015 23:59,0.746721983,0.63586098,0.661192,0.738644004,619926,54351468.24
10/1/2015 23:59,0.734306991,0.655906022,0.734306991,0.690214992,596084,50805918.94
10/2/2015 23:59,0.691120028,0.654604971,0.683731973,0.678574026,219318,49966501.65
10/3/2015 23:59,0.709204018,0.675481975,0.678783,0.687170982,163326,50616971.54
10/4/2015 23:59,0.693126023,0.660715997,0.686343014,0.668379009,103497,49249082.53
10/5/2015 23:59,0.674438,0.624450028,0.666783988,0.628642976,234263,46336892.37
10/6/2015 23:59,0.653944016,0.606230021,0.622218013,0.650645018,262674,47974297.65
10/7/2015 23:59,0.656301022,0.602423012,0.65051502,0.609387994,218327,44947526.82
10/8/2015 23:59,0.633138001,0.59197098,0.609501004,0.621716022,310266,45872836.65
10/9/2015 23:59,0.692296028,0.63211602,0.655084014,0.650627971,386420,48022036.47
10/10/2015 23:59,0.649021983,0.624373972,0.641187012,0.627857029,141555,46356710.6
10/11/2015 23:59,0.639505982,0.618335009,0.627461016,0.634962976,102128,46897253.14
10/12/2015 23:59,0.657788992,0.626030028,0.634514987,0.626030028,109567,46253823.07
10/13/2015 23:59,0.630240023,0.599214017,0.627942979,0.607654989,303044,44911717.55
10/14/2015 23:59,0.612240016,0.48397401,0.612240016,0.522967994,971664,38665409.24
10/15/2015 23:59,0.572713971,0.514729977,0.523277998,0.561878026,371022,41556025.18
10/16/2015 23:59,0.568861008,0.522533,0.562592983,0.53649497,249891,39691829.07
10/17/2015 23:59,0.563459992,0.526961029,0.534116983,0.54717797,313860,40496031.21
10/18/2015 23:59,0.552233994,0.512861013,0.547913015,0.517733991,133690,38329701.77
10/19/2015 23:59,0.521546006,0.480993986,0.517620981,0.489014,243742,36215624
10/20/2015 23:59,0.501897991,0.431647986,0.489629,0.434828997,383921,32213626.17
10/21/2015 23:59,0.482988,0.420897007,0.431589007,0.447329015,609085,33150825.5
10/22/2015 23:59,0.619466007,0.420991004,0.444988012,0.567701995,924822,42085191.51
10/23/2015 23:59,0.611742973,0.504284024,0.56637001,0.539656997,878822,40020348.18
10/24/2015 23:59,0.577395976,0.518688023,0.539681017,0.56358999,258356,41809763.81
10/25/2015 23:59,0.68819201,0.561383009,0.563206971,0.616038978,635384,45716386.95
10/26/2015 23:59,0.75751698,0.597097993,0.61974299,0.731316984,1089120,54289124.06
10/27/2015 23:59,0.898172021,0.708890021,0.708890021,0.869641006,1846370,64580262.9
10/28/2015 23:59,1.055789948,0.807856977,0.870938003,1.00248003,2373050,74469863.88
10/29/2015 23:59,1.206660032,0.947373986,1.005249977,1.206660032,2279240,89668666.93
10/30/2015 23:59,1.345049977,0.968159974,1.209200025,1.04121995,2429200,77401817.22
10/31/2015 23:59,1.056380033,0.900170982,1.046579957,0.91662699,673892,68163367.8
11/1/2015 23:59,1.076740026,0.899082005,0.920846999,1.055670023,588913,78530262.55
11/2/2015 23:59,1.099789977,0.953647017,1.057970047,0.989789009,1145200,73654327.4
11/3/2015 23:59,1.070440054,0.93661499,0.99456799,1.013360023,1907690,75434113.56
11/4/2015 23:59,1.038720012,0.725664973,1.010650039,0.899049997,3060340,66947929.52
11/5/2015 23:59,0.991258979,0.86038202,0.900699019,0.895636976,1179840,66716645.44
11/6/2015 23:59,0.989848018,0.852928996,0.904771984,0.926032007,913666,69004594.54
11/7/2015 23:59,0.943786979,0.86353898,0.923731983,0.927973986,890187,69172170.72
11/8/2015 23:59,1.032680035,0.915660977,0.915660977,1.027469993,1021460,76614487.79
11/9/2015 23:59,1.10642004,0.945263028,1.03252995,0.999278009,2045290,74537425.6
11/10/2015 23:59,1.053040028,0.920967996,1.001260042,0.934347987,854581,69717801.37
11/11/2015 23:59,0.945277989,0.729775012,0.941295981,0.79182899,1278580,59103443.27
11/12/2015 23:59,0.913918972,0.763509989,0.796455026,0.895711005,806156,66880152.21
11/13/2015 23:59,0.917308986,0.846023023,0.907721996,0.904096007,543671,67529353.67
11/14/2015 23:59,0.906113029,0.876908004,0.905469,0.888812006,372514,66410517.66
11/15/2015 23:59,0.921516001,0.874957025,0.891216993,0.906368017,411848,67745801.37
11/16/2015 23:59,0.94473201,0.891970992,0.906166017,0.928961992,620945,69458010.79
11/17/2015 23:59,1.032950044,0.905794024,0.924947977,1.007979989,1145440,75392161.96
11/18/2015 23:59,1.011569977,0.940515995,0.993214011,0.993318975,681104,74320768.77
11/19/2015 23:59,1.007969975,0.937497973,0.988713026,0.955532014,443528,71517342.45
11/20/2015 23:59,0.955735028,0.898576021,0.955735028,0.924920022,614335,69247997.8
11/21/2015 23:59,0.978743017,0.920939982,0.928758025,0.976140022,455976,73107356.65
11/22/2015 23:59,0.984131992,0.958981991,0.979764998,0.968017995,372173,72523507.32
11/23/2015 23:59,0.969057024,0.933870018,0.967492998,0.946968973,441875,70970606.38
11/24/2015 23:59,0.948055029,0.895931005,0.946442008,0.900191009,524195,67487355.73
11/25/2015 23:59,0.899492979,0.851105988,0.893827021,0.863537014,622991,64760707.32
11/26/2015 23:59,0.903643012,0.804359972,0.863273025,0.88418299,947473,66330891.85
11/27/2015 23:59,0.900050998,0.860695004,0.882099986,0.867950976,403813,65135634.93
11/28/2015 23:59,0.929292977,0.862121999,0.868102014,0.915702999,462464,68742122.27
11/29/2015 23:59,0.91415298,0.860532999,0.91414398,0.878614008,448358,65980041.54
11/30/2015 23:59,0.895053983,0.847696006,0.879951,0.873118997,784439,65589555.37
12/1/2015 23:59,0.886735976,0.85393697,0.878315985,0.874800026,652857,65738066.78
12/2/2015 23:59,0.878017008,0.81892401,0.873170972,0.821210027,506307,61730774.93
12/3/2015 23:59,0.837664008,0.785085976,0.818545997,0.812143028,539969,61070307.44
12/4/2015 23:59,0.859574974,0.802372992,0.812081993,0.840040982,241278,63189182.3
12/5/2015 23:59,0.872820973,0.824443996,0.841194987,0.862438023,232743,64895497.46
12/6/2015 23:59,0.882435977,0.833114982,0.866416991,0.835500002,443608,62889050.42
12/7/2015 23:59,0.850790977,0.787649989,0.83632201,0.811263978,520409,61084950.77
12/8/2015 23:59,0.823644996,0.78232801,0.806024015,0.822117984,445903,61922409.11
12/9/2015 23:59,0.82445401,0.770488024,0.82445401,0.792167008,624221,59687098.4
12/10/2015 23:59,0.861590028,0.78729099,0.795589983,0.840395987,369589,63342630.27
12/11/2015 23:59,0.929762006,0.819788992,0.839995027,0.929762006,801072,70101842.43
12/12/2015 23:59,1.045369983,0.928546011,0.931195974,0.976972997,1376280,73686283.92
12/13/2015 23:59,0.989394009,0.937438011,0.971538007,0.952884018,273614,71894531.31
12/14/2015 23:59,1.013100028,0.950178027,0.956619978,0.993022025,563436,74947759.99
12/15/2015 23:59,1.028839946,0.982240021,0.990589023,1.014150023,578618,76568082.11
12/16/2015 23:59,1.018030047,0.974927008,1.01710999,0.991182029,320767,74858728.65
12/17/2015 23:59,0.997610986,0.911807001,0.993043005,0.940701008,640765,71069937.5
12/18/2015 23:59,0.939493001,0.908080995,0.938327014,0.920126975,300787,69538662.89
12/19/2015 23:59,0.925873995,0.888916016,0.921523988,0.908071995,343535,68650438.89
12/20/2015 23:59,0.943184972,0.899441004,0.90824002,0.903885007,472164,68356312.62
12/21/2015 23:59,0.917389989,0.891182005,0.906064987,0.900771022,549113,68143245.53
12/22/2015 23:59,0.90952599,0.862058997,0.89497298,0.864202023,454249,65398931.85
12/23/2015 23:59,0.882939994,0.856064975,0.861782014,0.85807699,334993,64957356.05
12/24/2015 23:59,0.882817984,0.847599983,0.859432995,0.863261998,354646,65371538.35
12/25/2015 23:59,0.882556021,0.861993015,0.861993015,0.870362997,187114,65931377.21
12/26/2015 23:59,0.89745301,0.838313997,0.870765984,0.854602993,425282,64758910.12
12/27/2015 23:59,0.861537993,0.841150999,0.853165984,0.856365025,164565,64913918.97
12/28/2015 23:59,0.872394025,0.832931995,0.856356025,0.845004976,235134,64074279.06
12/29/2015 23:59,0.873054028,0.833231986,0.843834996,0.873054028,215742,66222901.17
12/30/2015 23:59,0.941098988,0.866647005,0.874257982,0.911957979,604078,69196765.3
12/31/2015 23:59,0.975413978,0.910277009,0.912097991,0.933542013,663994,70858022.75
1/1/2016 23:59,0.954822004,0.931442022,0.933712006,0.948023975,206062,71980386.46
1/2/2016 23:59,0.969636977,0.936559975,0.947400987,0.937124014,255504,71176658.05
1/3/2016 23:59,0.991361976,0.934312999,0.938430011,0.971904993,407632,73843291.67
1/4/2016 23:59,0.976437986,0.929835021,0.972045004,0.954479992,346245,72543706.62
1/5/2016 23:59,0.970597029,0.946542978,0.953146994,0.950176001,219833,72240974.34
